Title,URL,Description,Course,Subjects,Series
Babel: The Thompson Catalogue of Engines,https://mistertlibrary.github.io/babel/,"A comprehensive, annotated guide to search engines: conventional, indie web, and institutional repositories. A librarian's field guide.",,Basic Information and General Reference,
Citation Station: APA Format,https://mistertlibrary.github.io/apa/,A comprehensive overview of APA 7.,,Psychology|Science,Citation Station
Citation Station: MLA Format,https://mistertlibrary.github.io/mla/,A comprehensive overview of MLA 9.,,English Language Arts|Social Studies,Citation Station
Image Clearinghouse,https://mistertlibrary.github.io/imageclearinghouse/,"Use this table to locate or create high-quality, legally reusable images.",,,
Museum Studies Crash Course: The Lower East Side Tenement Museum,https://mistertlibrary.github.io/tenementmuseum/,A crash course in core museum studies concepts treating New York City's Tenement Museum as a case study.,,Social Studies,
On Annotation: A Handbook for Active Readers,https://mistertlibrary.github.io/annotation/,,,English Language Arts,
Research Basics: Getting Started,https://mistertlibrary.github.io/rbgettingstarted/,"A library research guide from West Essex: selecting a topic, choosing a database, preliminary research, and formulating a question.",,Basic Information and General Reference,Research Basics
Research Basics: Searches & Sources,https://mistertlibrary.github.io/rbsearchesandsources/,"Two skills carry an inquiry: building sophisticated search strings, and appraising a medley of potential sources.",,Basic Information and General Reference,Research Basics
Voices of the Cross & Crescent | Crusades Project,https://mistertlibrary.github.io/crusades/,"This project places students inside a Crusade. You and your partner will each inhabit a real historical figure (or, in two carefully documented cases, a composite voice built from the historical record) and present the events of your Crusade to the class from their perspective, in character, with evidence, while making an honest account of what historians can and cannot know.",,Social Studies,
WEHS Summer Reading 2026,https://mistertlibrary.github.io/summerreading2026/,"West Essex High School Board of Education approved summer reading lists for grades 9–12 and AP English courses, 2026.",,English Language Arts,
